station,stationLabel,stationID,transportNetworkLabel,address,linjerLabel,connectingLineLabel,årstal,geoLatitude,geoLongitude
"http://www.wikidata.org/entity/Q801282,Nørreport Station,8600646,S-tog,""Nørre Voldgade 13, 1358 København K"",Linje Bx,Kystbanen,1918-07-01T00:00:00Z,55.683333,12.571667"
"http://www.wikidata.org/entity/Q801282,Nørreport Station,8600646,S-tog,""Nørre Voldgade 13, 1358 København K"",Linje A,Kystbanen,1918-07-01T00:00:00Z,55.683333,12.571667"
"http://www.wikidata.org/entity/Q801282,Nørreport Station,8600646,S-tog,""Nørre Voldgade 13, 1358 København K"",Linje C,Kystbanen,1918-07-01T00:00:00Z,55.683333,12.571667"
"http://www.wikidata.org/entity/Q801282,Nørreport Station,8600646,S-tog,""Nørre Voldgade 13, 1358 København K"",Linje E,Kystbanen,1918-07-01T00:00:00Z,55.683333,12.571667"
"http://www.wikidata.org/entity/Q801282,Nørreport Station,8600646,S-tog,""Nørre Voldgade 13, 1358 København K"",Øresundstogtrafikken,Kystbanen,1918-07-01T00:00:00Z,55.683333,12.571667"
"http://www.wikidata.org/entity/Q801282,Nørreport Station,8600646,S-tog,""Nørre Voldgade 13, 1358 København K"",Regionaltog,Kystbanen,1918-07-01T00:00:00Z,55.683333,12.571667"
"http://www.wikidata.org/entity/Q801448,Slagelse Station,8600605,,""Sønder Stationsvej 28A, 4200 Slagelse"",InterCity,Vestbanen,1856-01-01T00:00:00Z,55.4074,11.3484"
"http://www.wikidata.org/entity/Q801448,Slagelse Station,8600605,,""Sønder Stationsvej 28A, 4200 Slagelse"",InterCityLyn,Vestbanen,1856-01-01T00:00:00Z,55.4074,11.3484"
"http://www.wikidata.org/entity/Q801448,Slagelse Station,8600605,,""Sønder Stationsvej 28A, 4200 Slagelse"",Regionaltog,Vestbanen,1856-01-01T00:00:00Z,55.4074,11.3484"
"http://www.wikidata.org/entity/Q801448,Slagelse Station,8600605,,""Sønder Stationsvej 28A, 4200 Slagelse"",InterCity,Tølløsebanen,1856-01-01T00:00:00Z,55.4074,11.3484"
